group,function,value,sample_time_nanos,iteration_count
compare bonds,bond_now,,980101.0,27389
compare bonds,bond_now,,1927901.0,54778
compare bonds,bond_now,,2956103.0,82167
compare bonds,bond_now,,4496904.0,109556
compare bonds,bond_now,,4982804.0,136945
compare bonds,bond_now,,5203005.0,164334
compare bonds,bond_now,,6792006.0,191723
compare bonds,bond_now,,7257006.0,219112
compare bonds,bond_now,,9277008.0,246501
compare bonds,bond_now,,9025608.0,273890
compare bonds,bond_now,,10181209.0,301279
compare bonds,bond_now,,11437110.0,328668
compare bonds,bond_now,,12425211.0,356057
compare bonds,bond_now,,13128811.0,383446
compare bonds,bond_now,,13990812.0,410835
compare bonds,bond_now,,14808513.0,438224
compare bonds,bond_now,,16883415.0,465613
compare bonds,bond_now,,16634315.0,493002
compare bonds,bond_now,,18052515.0,520391
compare bonds,bond_now,,21311919.0,547780
compare bonds,bond_now,,19044017.0,575169
compare bonds,bond_now,,20040617.0,602558
compare bonds,bond_now,,21096518.0,629947
compare bonds,bond_now,,21928420.0,657336
compare bonds,bond_now,,23845520.0,684725
compare bonds,bond_now,,24098022.0,712114
compare bonds,bond_now,,24747221.0,739503
compare bonds,bond_now,,24755622.0,766892
compare bonds,bond_now,,30025526.0,794281
compare bonds,bond_now,,28143725.0,821670
compare bonds,bond_now,,28857425.0,849059
compare bonds,bond_now,,30094226.0,876448
compare bonds,bond_now,,30386127.0,903837
compare bonds,bond_now,,30987027.0,931226
compare bonds,bond_now,,31393827.0,958615
compare bonds,bond_now,,33743630.0,986004
compare bonds,bond_now,,35383930.0,1013393
compare bonds,bond_now,,38980034.0,1040782
compare bonds,bond_now,,43300538.0,1068171
compare bonds,bond_now,,37846133.0,1095560
compare bonds,bond_now,,39315335.0,1122949
compare bonds,bond_now,,39315334.0,1150338
compare bonds,bond_now,,43095637.0,1177727
compare bonds,bond_now,,46515841.0,1205116
compare bonds,bond_now,,45636840.0,1232505
compare bonds,bond_now,,41798936.0,1259894
compare bonds,bond_now,,46658641.0,1287283
compare bonds,bond_now,,43755038.0,1314672
compare bonds,bond_now,,45549940.0,1342061
compare bonds,bond_now,,46451940.0,1369450
compare bonds,bond_now,,51368545.0,1396839
compare bonds,bond_now,,47391341.0,1424228
compare bonds,bond_now,,51034245.0,1451617
compare bonds,bond_now,,50911344.0,1479006
compare bonds,bond_now,,49886244.0,1506395
compare bonds,bond_now,,51066344.0,1533784
compare bonds,bond_now,,52259646.0,1561173
compare bonds,bond_now,,54639148.0,1588562
compare bonds,bond_now,,53907347.0,1615951
compare bonds,bond_now,,58579451.0,1643340
compare bonds,bond_now,,62255654.0,1670729
compare bonds,bond_now,,57267550.0,1698118
compare bonds,bond_now,,58017150.0,1725507
compare bonds,bond_now,,59602852.0,1752896
compare bonds,bond_now,,59160852.0,1780285
compare bonds,bond_now,,61855054.0,1807674
compare bonds,bond_now,,63309255.0,1835063
compare bonds,bond_now,,62518354.0,1862452
compare bonds,bond_now,,74545765.0,1889841
compare bonds,bond_now,,65303857.0,1917230
compare bonds,bond_now,,68795460.0,1944619
compare bonds,bond_now,,67918259.0,1972008
compare bonds,bond_now,,67064958.0,1999397
compare bonds,bond_now,,69670761.0,2026786
compare bonds,bond_now,,75910566.0,2054175
compare bonds,bond_now,,74939165.0,2081564
compare bonds,bond_now,,71191862.0,2108953
compare bonds,bond_now,,73264264.0,2136342
compare bonds,bond_now,,74942665.0,2163731
compare bonds,bond_now,,73145364.0,2191120
compare bonds,bond_now,,74104464.0,2218509
compare bonds,bond_now,,76632167.0,2245898
compare bonds,bond_now,,81466770.0,2273287
compare bonds,bond_now,,76497667.0,2300676
compare bonds,bond_now,,86362475.0,2328065
compare bonds,bond_now,,77993168.0,2355454
compare bonds,bond_now,,79553969.0,2382843
compare bonds,bond_now,,82194372.0,2410232
compare bonds,bond_now,,85724974.0,2437621
compare bonds,bond_now,,82600472.0,2465010
compare bonds,bond_now,,87401775.0,2492399
compare bonds,bond_now,,89775678.0,2519788
compare bonds,bond_now,,90519779.0,2547177
compare bonds,bond_now,,93370281.0,2574566
compare bonds,bond_now,,96205884.0,2601955
compare bonds,bond_now,,88512376.0,2629344
compare bonds,bond_now,,89889778.0,2656733
compare bonds,bond_now,,89922079.0,2684122
compare bonds,bond_now,,89412277.0,2711511
compare bonds,bond_now,,94408082.0,2738900
