group,function,value,sample_time_nanos,iteration_count
compare bonds,bond_t,,1041101.0,11289
compare bonds,bond_t,,1917502.0,22578
compare bonds,bond_t,,2598102.0,33867
compare bonds,bond_t,,4315004.0,45156
compare bonds,bond_t,,4571004.0,56445
compare bonds,bond_t,,5238205.0,67734
compare bonds,bond_t,,9283908.0,79023
compare bonds,bond_t,,7174506.0,90312
compare bonds,bond_t,,9017908.0,101601
compare bonds,bond_t,,8800308.0,112890
compare bonds,bond_t,,10707810.0,124179
compare bonds,bond_t,,11829210.0,135468
compare bonds,bond_t,,12272011.0,146757
compare bonds,bond_t,,13432012.0,158046
compare bonds,bond_t,,13229612.0,169335
compare bonds,bond_t,,14989613.0,180624
compare bonds,bond_t,,15882114.0,191913
compare bonds,bond_t,,16771515.0,203202
compare bonds,bond_t,,18382817.0,214491
compare bonds,bond_t,,18547416.0,225780
compare bonds,bond_t,,19761418.0,237069
compare bonds,bond_t,,20049118.0,248358
compare bonds,bond_t,,27451524.0,259647
compare bonds,bond_t,,23616021.0,270936
compare bonds,bond_t,,23886922.0,282225
compare bonds,bond_t,,26292523.0,293514
compare bonds,bond_t,,27349724.0,304803
compare bonds,bond_t,,36476633.0,316092
compare bonds,bond_t,,31180628.0,327381
compare bonds,bond_t,,30139626.0,338670
compare bonds,bond_t,,31560129.0,349959
compare bonds,bond_t,,31496128.0,361248
compare bonds,bond_t,,32255428.0,372537
compare bonds,bond_t,,33921431.0,383826
compare bonds,bond_t,,33433329.0,395115
compare bonds,bond_t,,35706932.0,406404
compare bonds,bond_t,,35217532.0,417693
compare bonds,bond_t,,36113332.0,428982
compare bonds,bond_t,,35950732.0,440271
compare bonds,bond_t,,38487634.0,451560
compare bonds,bond_t,,40990136.0,462849
compare bonds,bond_t,,39408636.0,474138
compare bonds,bond_t,,44771139.0,485427
compare bonds,bond_t,,40482636.0,496716
compare bonds,bond_t,,41624137.0,508005
compare bonds,bond_t,,42672238.0,519294
compare bonds,bond_t,,43909839.0,530583
compare bonds,bond_t,,46904542.0,541872
compare bonds,bond_t,,45968241.0,553161
compare bonds,bond_t,,50855445.0,564450
compare bonds,bond_t,,47316842.0,575739
compare bonds,bond_t,,49760445.0,587028
compare bonds,bond_t,,53692447.0,598317
compare bonds,bond_t,,55900750.0,609606
compare bonds,bond_t,,51302446.0,620895
compare bonds,bond_t,,52548447.0,632184
compare bonds,bond_t,,53790347.0,643473
compare bonds,bond_t,,57633252.0,654762
compare bonds,bond_t,,60209153.0,666051
compare bonds,bond_t,,64190157.0,677340
compare bonds,bond_t,,62099455.0,688629
compare bonds,bond_t,,61077055.0,699918
compare bonds,bond_t,,68561261.0,711207
compare bonds,bond_t,,62215155.0,722496
compare bonds,bond_t,,65409958.0,733785
compare bonds,bond_t,,64183757.0,745074
compare bonds,bond_t,,63841757.0,756363
compare bonds,bond_t,,66710159.0,767652
compare bonds,bond_t,,66283359.0,778941
compare bonds,bond_t,,69122161.0,790230
compare bonds,bond_t,,72588165.0,801519
compare bonds,bond_t,,71329663.0,812808
compare bonds,bond_t,,68716261.0,824097
compare bonds,bond_t,,69912262.0,835386
compare bonds,bond_t,,72743065.0,846675
compare bonds,bond_t,,73558865.0,857964
compare bonds,bond_t,,70483163.0,869253
compare bonds,bond_t,,78442169.0,880542
compare bonds,bond_t,,74965067.0,891831
compare bonds,bond_t,,77018368.0,903120
compare bonds,bond_t,,78185069.0,914409
compare bonds,bond_t,,79337471.0,925698
compare bonds,bond_t,,90343880.0,936987
compare bonds,bond_t,,98656087.0,948276
compare bonds,bond_t,,98060987.0,959565
compare bonds,bond_t,,96500986.0,970854
compare bonds,bond_t,,87563977.0,982143
compare bonds,bond_t,,88016578.0,993432
compare bonds,bond_t,,93319683.0,1004721
compare bonds,bond_t,,89384679.0,1016010
compare bonds,bond_t,,85916076.0,1027299
compare bonds,bond_t,,90485980.0,1038588
compare bonds,bond_t,,93845383.0,1049877
compare bonds,bond_t,,90688881.0,1061166
compare bonds,bond_t,,96657085.0,1072455
compare bonds,bond_t,,98148187.0,1083744
compare bonds,bond_t,,93200483.0,1095033
compare bonds,bond_t,,107027194.0,1106322
compare bonds,bond_t,,103600292.0,1117611
compare bonds,bond_t,,111324399.0,1128900
