group,function,value,sample_time_nanos,iteration_count
compare coupon bonds,bond_now,,1019201.0,5984
compare coupon bonds,bond_now,,1852901.0,11968
compare coupon bonds,bond_now,,2679002.0,17952
compare coupon bonds,bond_now,,3608203.0,23936
compare coupon bonds,bond_now,,4768604.0,29920
compare coupon bonds,bond_now,,5601905.0,35904
compare coupon bonds,bond_now,,6244005.0,41888
compare coupon bonds,bond_now,,7814607.0,47872
compare coupon bonds,bond_now,,8069007.0,53856
compare coupon bonds,bond_now,,9374008.0,59840
compare coupon bonds,bond_now,,10138108.0,65824
compare coupon bonds,bond_now,,10707809.0,71808
compare coupon bonds,bond_now,,12473311.0,77792
compare coupon bonds,bond_now,,25033021.0,83776
compare coupon bonds,bond_now,,15016612.0,89760
compare coupon bonds,bond_now,,17185215.0,95744
compare coupon bonds,bond_now,,17926715.0,101728
compare coupon bonds,bond_now,,18653916.0,107712
compare coupon bonds,bond_now,,17628315.0,113696
compare coupon bonds,bond_now,,19486216.0,119680
compare coupon bonds,bond_now,,20749117.0,125664
compare coupon bonds,bond_now,,21826319.0,131648
compare coupon bonds,bond_now,,22520619.0,137632
compare coupon bonds,bond_now,,30897826.0,143616
compare coupon bonds,bond_now,,34714929.0,149600
compare coupon bonds,bond_now,,24578721.0,155584
compare coupon bonds,bond_now,,27826023.0,161568
compare coupon bonds,bond_now,,27170823.0,167552
compare coupon bonds,bond_now,,29782725.0,173536
compare coupon bonds,bond_now,,28960224.0,179520
compare coupon bonds,bond_now,,29531625.0,185504
compare coupon bonds,bond_now,,30267226.0,191488
compare coupon bonds,bond_now,,42104735.0,197472
compare coupon bonds,bond_now,,43292237.0,203456
compare coupon bonds,bond_now,,34954629.0,209440
compare coupon bonds,bond_now,,34538629.0,215424
compare coupon bonds,bond_now,,35990230.0,221408
compare coupon bonds,bond_now,,38122632.0,227392
compare coupon bonds,bond_now,,44783838.0,233376
compare coupon bonds,bond_now,,43411636.0,239360
compare coupon bonds,bond_now,,38737633.0,245344
compare coupon bonds,bond_now,,40501234.0,251328
compare coupon bonds,bond_now,,44416237.0,257312
compare coupon bonds,bond_now,,40653034.0,263296
compare coupon bonds,bond_now,,41266335.0,269280
compare coupon bonds,bond_now,,42845236.0,275264
compare coupon bonds,bond_now,,44809038.0,281248
compare coupon bonds,bond_now,,44293737.0,287232
compare coupon bonds,bond_now,,47493240.0,293216
compare coupon bonds,bond_now,,46221239.0,299200
compare coupon bonds,bond_now,,53610945.0,305184
compare coupon bonds,bond_now,,48195240.0,311168
compare coupon bonds,bond_now,,49286442.0,317152
compare coupon bonds,bond_now,,51861143.0,323136
compare coupon bonds,bond_now,,51153443.0,329120
compare coupon bonds,bond_now,,51081443.0,335104
compare coupon bonds,bond_now,,52306244.0,341088
compare coupon bonds,bond_now,,53424845.0,347072
compare coupon bonds,bond_now,,54823446.0,353056
compare coupon bonds,bond_now,,55553947.0,359040
compare coupon bonds,bond_now,,65198254.0,365024
compare coupon bonds,bond_now,,57524149.0,371008
compare coupon bonds,bond_now,,60116250.0,376992
compare coupon bonds,bond_now,,63160653.0,382976
compare coupon bonds,bond_now,,61909652.0,388960
compare coupon bonds,bond_now,,68214957.0,394944
compare coupon bonds,bond_now,,63940754.0,400928
compare coupon bonds,bond_now,,64531954.0,406912
compare coupon bonds,bond_now,,69626359.0,412896
compare coupon bonds,bond_now,,66976956.0,418880
compare coupon bonds,bond_now,,67156256.0,424864
compare coupon bonds,bond_now,,67299357.0,430848
compare coupon bonds,bond_now,,72416160.0,436832
compare coupon bonds,bond_now,,73187262.0,442816
compare coupon bonds,bond_now,,69287758.0,448800
compare coupon bonds,bond_now,,77675665.0,454784
compare coupon bonds,bond_now,,78946866.0,460768
compare coupon bonds,bond_now,,88373874.0,466752
compare coupon bonds,bond_now,,83441670.0,472736
compare coupon bonds,bond_now,,81113468.0,478720
compare coupon bonds,bond_now,,86533172.0,484704
compare coupon bonds,bond_now,,89996876.0,490688
compare coupon bonds,bond_now,,89928975.0,496672
compare coupon bonds,bond_now,,86460372.0,502656
compare coupon bonds,bond_now,,92925178.0,508640
compare coupon bonds,bond_now,,92418378.0,514624
compare coupon bonds,bond_now,,80789567.0,520608
compare coupon bonds,bond_now,,85672372.0,526592
compare coupon bonds,bond_now,,82947369.0,532576
compare coupon bonds,bond_now,,85311572.0,538560
compare coupon bonds,bond_now,,88972274.0,544544
compare coupon bonds,bond_now,,87889474.0,550528
compare coupon bonds,bond_now,,85244071.0,556512
compare coupon bonds,bond_now,,95282580.0,562496
compare coupon bonds,bond_now,,89459474.0,568480
compare coupon bonds,bond_now,,94068079.0,574464
compare coupon bonds,bond_now,,111243493.0,580448
compare coupon bonds,bond_now,,103595987.0,586432
compare coupon bonds,bond_now,,115696396.0,592416
compare coupon bonds,bond_now,,112047994.0,598400
