group,function,value,sample_time_nanos,iteration_count
compare coupon bonds,bond_t,,1573102.0,2569
compare coupon bonds,bond_t,,3016502.0,5138
compare coupon bonds,bond_t,,3324603.0,7707
compare coupon bonds,bond_t,,3632303.0,10276
compare coupon bonds,bond_t,,4572404.0,12845
compare coupon bonds,bond_t,,8478008.0,15414
compare coupon bonds,bond_t,,7012306.0,17983
compare coupon bonds,bond_t,,8405707.0,20552
compare coupon bonds,bond_t,,8463307.0,23121
compare coupon bonds,bond_t,,9900909.0,25690
compare coupon bonds,bond_t,,11355809.0,28259
compare coupon bonds,bond_t,,12091311.0,30828
compare coupon bonds,bond_t,,12561611.0,33397
compare coupon bonds,bond_t,,14075412.0,35966
compare coupon bonds,bond_t,,14323512.0,38535
compare coupon bonds,bond_t,,15336313.0,41104
compare coupon bonds,bond_t,,16495014.0,43673
compare coupon bonds,bond_t,,16906015.0,46242
compare coupon bonds,bond_t,,19533517.0,48811
compare coupon bonds,bond_t,,20029917.0,51380
compare coupon bonds,bond_t,,20015317.0,53949
compare coupon bonds,bond_t,,26265322.0,56518
compare coupon bonds,bond_t,,23039920.0,59087
compare coupon bonds,bond_t,,23754021.0,61656
compare coupon bonds,bond_t,,23827220.0,64225
compare coupon bonds,bond_t,,24980522.0,66794
compare coupon bonds,bond_t,,26118122.0,69363
compare coupon bonds,bond_t,,27943124.0,71932
compare coupon bonds,bond_t,,28293224.0,74501
compare coupon bonds,bond_t,,28911925.0,77070
compare coupon bonds,bond_t,,29828326.0,79639
compare coupon bonds,bond_t,,31553627.0,82208
compare coupon bonds,bond_t,,35685231.0,84777
compare coupon bonds,bond_t,,33320528.0,87346
compare coupon bonds,bond_t,,33918029.0,89915
compare coupon bonds,bond_t,,34289230.0,92484
compare coupon bonds,bond_t,,35308030.0,95053
compare coupon bonds,bond_t,,35938731.0,97622
compare coupon bonds,bond_t,,40109734.0,100191
compare coupon bonds,bond_t,,39068334.0,102760
compare coupon bonds,bond_t,,39443534.0,105329
compare coupon bonds,bond_t,,39782734.0,107898
compare coupon bonds,bond_t,,40863235.0,110467
compare coupon bonds,bond_t,,41833736.0,113036
compare coupon bonds,bond_t,,41869036.0,115605
compare coupon bonds,bond_t,,53557946.0,118174
compare coupon bonds,bond_t,,46192639.0,120743
compare coupon bonds,bond_t,,45344639.0,123312
compare coupon bonds,bond_t,,47075241.0,125881
compare coupon bonds,bond_t,,47352740.0,128450
compare coupon bonds,bond_t,,51485344.0,131019
compare coupon bonds,bond_t,,51439444.0,133588
compare coupon bonds,bond_t,,56372349.0,136157
compare coupon bonds,bond_t,,55831248.0,138726
compare coupon bonds,bond_t,,54388846.0,141295
compare coupon bonds,bond_t,,58801051.0,143864
compare coupon bonds,bond_t,,54701047.0,146433
compare coupon bonds,bond_t,,63194554.0,149002
compare coupon bonds,bond_t,,59477551.0,151571
compare coupon bonds,bond_t,,60222151.0,154140
compare coupon bonds,bond_t,,63125155.0,156709
compare coupon bonds,bond_t,,65781156.0,159278
compare coupon bonds,bond_t,,62309153.0,161847
compare coupon bonds,bond_t,,68959959.0,164416
compare coupon bonds,bond_t,,68117159.0,166985
compare coupon bonds,bond_t,,64321855.0,169554
compare coupon bonds,bond_t,,65286756.0,172123
compare coupon bonds,bond_t,,65280355.0,174692
compare coupon bonds,bond_t,,70485561.0,177261
compare coupon bonds,bond_t,,67172857.0,179830
compare coupon bonds,bond_t,,69400160.0,182399
compare coupon bonds,bond_t,,78469367.0,184968
compare coupon bonds,bond_t,,85516573.0,187537
compare coupon bonds,bond_t,,78277767.0,190106
compare coupon bonds,bond_t,,73058463.0,192675
compare coupon bonds,bond_t,,76211765.0,195244
compare coupon bonds,bond_t,,75578164.0,197813
compare coupon bonds,bond_t,,79865469.0,200382
compare coupon bonds,bond_t,,74856464.0,202951
compare coupon bonds,bond_t,,81420869.0,205520
compare coupon bonds,bond_t,,81940570.0,208089
compare coupon bonds,bond_t,,80236369.0,210658
compare coupon bonds,bond_t,,85674073.0,213227
compare coupon bonds,bond_t,,85310573.0,215796
compare coupon bonds,bond_t,,82569571.0,218365
compare coupon bonds,bond_t,,96226782.0,220934
compare coupon bonds,bond_t,,90005077.0,223503
compare coupon bonds,bond_t,,89551476.0,226072
compare coupon bonds,bond_t,,86197374.0,228641
compare coupon bonds,bond_t,,93885580.0,231210
compare coupon bonds,bond_t,,90060277.0,233779
compare coupon bonds,bond_t,,90978778.0,236348
compare coupon bonds,bond_t,,98045883.0,238917
compare coupon bonds,bond_t,,104018289.0,241486
compare coupon bonds,bond_t,,95820482.0,244055
compare coupon bonds,bond_t,,102937588.0,246624
compare coupon bonds,bond_t,,92937179.0,249193
compare coupon bonds,bond_t,,93965080.0,251762
compare coupon bonds,bond_t,,94354681.0,254331
compare coupon bonds,bond_t,,97341083.0,256900
