group,function,value,sample_time_nanos,iteration_count
compare swaption tree,analytical,100,901601.0,46
compare swaption tree,analytical,100,1785901.0,92
compare swaption tree,analytical,100,2856503.0,138
compare swaption tree,analytical,100,3574902.0,184
compare swaption tree,analytical,100,4618004.0,230
compare swaption tree,analytical,100,5701705.0,276
compare swaption tree,analytical,100,6462905.0,322
compare swaption tree,analytical,100,7978306.0,368
compare swaption tree,analytical,100,8233307.0,414
compare swaption tree,analytical,100,12488910.0,460
compare swaption tree,analytical,100,10382308.0,506
compare swaption tree,analytical,100,11638709.0,552
compare swaption tree,analytical,100,12489110.0,598
compare swaption tree,analytical,100,13173310.0,644
compare swaption tree,analytical,100,14380812.0,690
compare swaption tree,analytical,100,15160912.0,736
compare swaption tree,analytical,100,16114013.0,782
compare swaption tree,analytical,100,17443314.0,828
compare swaption tree,analytical,100,18067614.0,874
compare swaption tree,analytical,100,18788815.0,920
compare swaption tree,analytical,100,20370616.0,966
compare swaption tree,analytical,100,23694419.0,1012
compare swaption tree,analytical,100,23261518.0,1058
compare swaption tree,analytical,100,23762019.0,1104
compare swaption tree,analytical,100,24167419.0,1150
compare swaption tree,analytical,100,24426220.0,1196
compare swaption tree,analytical,100,25303220.0,1242
compare swaption tree,analytical,100,26859121.0,1288
compare swaption tree,analytical,100,28394223.0,1334
compare swaption tree,analytical,100,29222123.0,1380
compare swaption tree,analytical,100,31915425.0,1426
compare swaption tree,analytical,100,30646224.0,1472
compare swaption tree,analytical,100,32226026.0,1518
compare swaption tree,analytical,100,32532926.0,1564
compare swaption tree,analytical,100,40107732.0,1610
compare swaption tree,analytical,100,35318628.0,1656
compare swaption tree,analytical,100,35668728.0,1702
compare swaption tree,analytical,100,40112432.0,1748
compare swaption tree,analytical,100,43269734.0,1794
compare swaption tree,analytical,100,39121431.0,1840
compare swaption tree,analytical,100,38790331.0,1886
compare swaption tree,analytical,100,39450431.0,1932
compare swaption tree,analytical,100,43067434.0,1978
compare swaption tree,analytical,100,41542033.0,2024
compare swaption tree,analytical,100,42850934.0,2070
compare swaption tree,analytical,100,46978038.0,2116
compare swaption tree,analytical,100,44787435.0,2162
compare swaption tree,analytical,100,46206537.0,2208
compare swaption tree,analytical,100,46283736.0,2254
compare swaption tree,analytical,100,50748741.0,2300
compare swaption tree,analytical,100,54274843.0,2346
compare swaption tree,analytical,100,50416940.0,2392
compare swaption tree,analytical,100,51319340.0,2438
compare swaption tree,analytical,100,50951141.0,2484
compare swaption tree,analytical,100,52374341.0,2530
compare swaption tree,analytical,100,56875145.0,2576
compare swaption tree,analytical,100,62022849.0,2622
compare swaption tree,analytical,100,56117545.0,2668
compare swaption tree,analytical,100,56782945.0,2714
compare swaption tree,analytical,100,65514752.0,2760
compare swaption tree,analytical,100,61444748.0,2806
compare swaption tree,analytical,100,63891151.0,2852
compare swaption tree,analytical,100,63314150.0,2898
compare swaption tree,analytical,100,63487750.0,2944
compare swaption tree,analytical,100,63504751.0,2990
compare swaption tree,analytical,100,64987351.0,3036
compare swaption tree,analytical,100,68445354.0,3082
compare swaption tree,analytical,100,66180653.0,3128
compare swaption tree,analytical,100,66113652.0,3174
compare swaption tree,analytical,100,67486453.0,3220
compare swaption tree,analytical,100,74024259.0,3266
compare swaption tree,analytical,100,69858355.0,3312
compare swaption tree,analytical,100,73612258.0,3358
compare swaption tree,analytical,100,71713257.0,3404
compare swaption tree,analytical,100,80852464.0,3450
compare swaption tree,analytical,100,75579360.0,3496
compare swaption tree,analytical,100,76314760.0,3542
compare swaption tree,analytical,100,85058067.0,3588
compare swaption tree,analytical,100,79281163.0,3634
compare swaption tree,analytical,100,82293765.0,3680
compare swaption tree,analytical,100,80448664.0,3726
compare swaption tree,analytical,100,78304161.0,3772
compare swaption tree,analytical,100,85890168.0,3818
compare swaption tree,analytical,100,80866864.0,3864
compare swaption tree,analytical,100,80865964.0,3910
compare swaption tree,analytical,100,87048369.0,3956
compare swaption tree,analytical,100,89807571.0,4002
compare swaption tree,analytical,100,86780468.0,4048
compare swaption tree,analytical,100,91824673.0,4094
compare swaption tree,analytical,100,89919071.0,4140
compare swaption tree,analytical,100,90473871.0,4186
compare swaption tree,analytical,100,88436070.0,4232
compare swaption tree,analytical,100,95058375.0,4278
compare swaption tree,analytical,100,95652275.0,4324
compare swaption tree,analytical,100,112974690.0,4370
compare swaption tree,analytical,100,115666591.0,4416
compare swaption tree,analytical,100,116820092.0,4462
compare swaption tree,analytical,100,122657197.0,4508
compare swaption tree,analytical,100,99265678.0,4554
compare swaption tree,analytical,100,94976575.0,4600
