group,function,value,sample_time_nanos,iteration_count
compare swaption tree,analytical,50,893601.0,46
compare swaption tree,analytical,50,1852301.0,92
compare swaption tree,analytical,50,2793202.0,138
compare swaption tree,analytical,50,4888904.0,184
compare swaption tree,analytical,50,4649304.0,230
compare swaption tree,analytical,50,5481905.0,276
compare swaption tree,analytical,50,6579805.0,322
compare swaption tree,analytical,50,7448706.0,368
compare swaption tree,analytical,50,8816207.0,414
compare swaption tree,analytical,50,9209208.0,460
compare swaption tree,analytical,50,12714510.0,506
compare swaption tree,analytical,50,13169011.0,552
compare swaption tree,analytical,50,12355810.0,598
compare swaption tree,analytical,50,13342710.0,644
compare swaption tree,analytical,50,13848412.0,690
compare swaption tree,analytical,50,15030412.0,736
compare swaption tree,analytical,50,15970913.0,782
compare swaption tree,analytical,50,22189418.0,828
compare swaption tree,analytical,50,21291617.0,874
compare swaption tree,analytical,50,20581317.0,920
compare swaption tree,analytical,50,21495817.0,966
compare swaption tree,analytical,50,21444618.0,1012
compare swaption tree,analytical,50,21491517.0,1058
compare swaption tree,analytical,50,22375018.0,1104
compare swaption tree,analytical,50,23871519.0,1150
compare swaption tree,analytical,50,26184222.0,1196
compare swaption tree,analytical,50,25826220.0,1242
compare swaption tree,analytical,50,27572523.0,1288
compare swaption tree,analytical,50,28671523.0,1334
compare swaption tree,analytical,50,28946723.0,1380
compare swaption tree,analytical,50,29425724.0,1426
compare swaption tree,analytical,50,30180825.0,1472
compare swaption tree,analytical,50,31540725.0,1518
compare swaption tree,analytical,50,35403229.0,1564
compare swaption tree,analytical,50,33807127.0,1610
compare swaption tree,analytical,50,34652228.0,1656
compare swaption tree,analytical,50,35355029.0,1702
compare swaption tree,analytical,50,36167629.0,1748
compare swaption tree,analytical,50,37890131.0,1794
compare swaption tree,analytical,50,41971434.0,1840
compare swaption tree,analytical,50,40742733.0,1886
compare swaption tree,analytical,50,41261733.0,1932
compare swaption tree,analytical,50,40871633.0,1978
compare swaption tree,analytical,50,41385634.0,2024
compare swaption tree,analytical,50,42698134.0,2070
compare swaption tree,analytical,50,43322635.0,2116
compare swaption tree,analytical,50,51231042.0,2162
compare swaption tree,analytical,50,45339137.0,2208
compare swaption tree,analytical,50,46917038.0,2254
compare swaption tree,analytical,50,52914442.0,2300
compare swaption tree,analytical,50,61301850.0,2346
compare swaption tree,analytical,50,61639650.0,2392
compare swaption tree,analytical,50,63475751.0,2438
compare swaption tree,analytical,50,61136750.0,2484
compare swaption tree,analytical,50,61877050.0,2530
compare swaption tree,analytical,50,66296553.0,2576
compare swaption tree,analytical,50,58802048.0,2622
compare swaption tree,analytical,50,55890145.0,2668
compare swaption tree,analytical,50,57486546.0,2714
compare swaption tree,analytical,50,57466247.0,2760
compare swaption tree,analytical,50,58148747.0,2806
compare swaption tree,analytical,50,58152147.0,2852
compare swaption tree,analytical,50,59652448.0,2898
compare swaption tree,analytical,50,64149452.0,2944
compare swaption tree,analytical,50,62862951.0,2990
compare swaption tree,analytical,50,63306451.0,3036
compare swaption tree,analytical,50,64119452.0,3082
compare swaption tree,analytical,50,66827754.0,3128
compare swaption tree,analytical,50,66065353.0,3174
compare swaption tree,analytical,50,72048158.0,3220
compare swaption tree,analytical,50,77680963.0,3266
compare swaption tree,analytical,50,77811462.0,3312
compare swaption tree,analytical,50,69778357.0,3358
compare swaption tree,analytical,50,74735060.0,3404
compare swaption tree,analytical,50,71142358.0,3450
compare swaption tree,analytical,50,78150563.0,3496
compare swaption tree,analytical,50,76002461.0,3542
compare swaption tree,analytical,50,81003965.0,3588
compare swaption tree,analytical,50,80854166.0,3634
compare swaption tree,analytical,50,82088166.0,3680
compare swaption tree,analytical,50,80494365.0,3726
compare swaption tree,analytical,50,79354764.0,3772
compare swaption tree,analytical,50,79222363.0,3818
compare swaption tree,analytical,50,83408668.0,3864
compare swaption tree,analytical,50,86102669.0,3910
compare swaption tree,analytical,50,83184467.0,3956
compare swaption tree,analytical,50,82811067.0,4002
compare swaption tree,analytical,50,82227466.0,4048
compare swaption tree,analytical,50,88249271.0,4094
compare swaption tree,analytical,50,85146369.0,4140
compare swaption tree,analytical,50,91107773.0,4186
compare swaption tree,analytical,50,87098070.0,4232
compare swaption tree,analytical,50,94768177.0,4278
compare swaption tree,analytical,50,91331473.0,4324
compare swaption tree,analytical,50,97016078.0,4370
compare swaption tree,analytical,50,99056580.0,4416
compare swaption tree,analytical,50,94566176.0,4462
compare swaption tree,analytical,50,94997576.0,4508
compare swaption tree,analytical,50,100205081.0,4554
compare swaption tree,analytical,50,106251986.0,4600
