group,function,value,sample_time_nanos,iteration_count
compare swaption tree,tree,100,10077507.0,1
compare swaption tree,tree,100,19278615.0,2
compare swaption tree,tree,100,29226521.0,3
compare swaption tree,tree,100,38764929.0,4
compare swaption tree,tree,100,47399535.0,5
compare swaption tree,tree,100,58925244.0,6
compare swaption tree,tree,100,73574455.0,7
compare swaption tree,tree,100,81902560.0,8
compare swaption tree,tree,100,86372365.0,9
compare swaption tree,tree,100,97715472.0,10
compare swaption tree,tree,100,106519479.0,11
compare swaption tree,tree,100,120119389.0,12
compare swaption tree,tree,100,130750697.0,13
compare swaption tree,tree,100,143036507.0,14
compare swaption tree,tree,100,147517309.0,15
compare swaption tree,tree,100,158100717.0,16
compare swaption tree,tree,100,170072426.0,17
compare swaption tree,tree,100,176414431.0,18
compare swaption tree,tree,100,186799838.0,19
compare swaption tree,tree,100,199203648.0,20
compare swaption tree,tree,100,201645549.0,21
compare swaption tree,tree,100,212051557.0,22
compare swaption tree,tree,100,221609864.0,23
compare swaption tree,tree,100,249780085.0,24
compare swaption tree,tree,100,282791509.0,25
compare swaption tree,tree,100,287826013.0,26
compare swaption tree,tree,100,269814000.0,27
compare swaption tree,tree,100,294368717.0,28
compare swaption tree,tree,100,291922515.0,29
compare swaption tree,tree,100,316351534.0,30
compare swaption tree,tree,100,312038330.0,31
compare swaption tree,tree,100,320516136.0,32
compare swaption tree,tree,100,332335445.0,33
compare swaption tree,tree,100,362951168.0,34
compare swaption tree,tree,100,341063651.0,35
compare swaption tree,tree,100,367955471.0,36
compare swaption tree,tree,100,372418673.0,37
compare swaption tree,tree,100,387417985.0,38
compare swaption tree,tree,100,376588277.0,39
compare swaption tree,tree,100,392304888.0,40
compare swaption tree,tree,100,409821701.0,41
compare swaption tree,tree,100,424887711.0,42
compare swaption tree,tree,100,432238317.0,43
compare swaption tree,tree,100,429941015.0,44
compare swaption tree,tree,100,442169223.0,45
compare swaption tree,tree,100,475047348.0,46
compare swaption tree,tree,100,459045135.0,47
compare swaption tree,tree,100,472667046.0,48
compare swaption tree,tree,100,495195961.0,49
compare swaption tree,tree,100,494245561.0,50
compare swaption tree,tree,100,523611681.0,51
compare swaption tree,tree,100,520293279.0,52
compare swaption tree,tree,100,538874293.0,53
compare swaption tree,tree,100,538145891.0,54
compare swaption tree,tree,100,558130305.0,55
compare swaption tree,tree,100,579792021.0,56
compare swaption tree,tree,100,638566764.0,57
compare swaption tree,tree,100,646445368.0,58
compare swaption tree,tree,100,655523375.0,59
compare swaption tree,tree,100,674204387.0,60
compare swaption tree,tree,100,682687094.0,61
compare swaption tree,tree,100,717414118.0,62
compare swaption tree,tree,100,780731463.0,63
compare swaption tree,tree,100,756739545.0,64
compare swaption tree,tree,100,652970569.0,65
compare swaption tree,tree,100,645849165.0,66
compare swaption tree,tree,100,688678294.0,67
compare swaption tree,tree,100,694801399.0,68
compare swaption tree,tree,100,668969179.0,69
compare swaption tree,tree,100,717877314.0,70
compare swaption tree,tree,100,714766012.0,71
compare swaption tree,tree,100,708163806.0,72
compare swaption tree,tree,100,720725214.0,73
compare swaption tree,tree,100,756815440.0,74
compare swaption tree,tree,100,757578339.0,75
compare swaption tree,tree,100,768742847.0,76
compare swaption tree,tree,100,787845460.0,77
compare swaption tree,tree,100,787077759.0,78
compare swaption tree,tree,100,782207755.0,79
compare swaption tree,tree,100,794655162.0,80
compare swaption tree,tree,100,847914200.0,81
compare swaption tree,tree,100,841685995.0,82
compare swaption tree,tree,100,833619388.0,83
compare swaption tree,tree,100,886769425.0,84
compare swaption tree,tree,100,859603006.0,85
compare swaption tree,tree,100,851763098.0,86
compare swaption tree,tree,100,877761817.0,87
compare swaption tree,tree,100,883998820.0,88
compare swaption tree,tree,100,903132032.0,89
compare swaption tree,tree,100,907766535.0,90
compare swaption tree,tree,100,911595437.0,91
compare swaption tree,tree,100,907766434.0,92
compare swaption tree,tree,100,912121535.0,93
compare swaption tree,tree,100,950183961.0,94
compare swaption tree,tree,100,961736669.0,95
compare swaption tree,tree,100,970522473.0,96
compare swaption tree,tree,100,960186666.0,97
compare swaption tree,tree,100,1005473396.0,98
compare swaption tree,tree,100,980635077.0,99
compare swaption tree,tree,100,1008607696.0,100
