group,function,value,sample_time_nanos,iteration_count
compare swaption tree,tree,200,41690229.0,1
compare swaption tree,tree,200,76347252.0,2
compare swaption tree,tree,200,121917983.0,3
compare swaption tree,tree,200,165588913.0,4
compare swaption tree,tree,200,200387736.0,5
compare swaption tree,tree,200,255505074.0,6
compare swaption tree,tree,200,272488386.0,7
compare swaption tree,tree,200,333549827.0,8
compare swaption tree,tree,200,372612453.0,9
compare swaption tree,tree,200,406721577.0,10
compare swaption tree,tree,200,441076399.0,11
compare swaption tree,tree,200,466066717.0,12
compare swaption tree,tree,200,521048353.0,13
compare swaption tree,tree,200,596901305.0,14
compare swaption tree,tree,200,602603708.0,15
compare swaption tree,tree,200,634106929.0,16
compare swaption tree,tree,200,654699742.0,17
compare swaption tree,tree,200,734663697.0,18
compare swaption tree,tree,200,739541999.0,19
compare swaption tree,tree,200,776673023.0,20
compare swaption tree,tree,200,807039443.0,21
compare swaption tree,tree,200,866726083.0,22
compare swaption tree,tree,200,885448195.0,23
compare swaption tree,tree,200,921779218.0,24
compare swaption tree,tree,200,983007258.0,25
compare swaption tree,tree,200,1032247091.0,26
compare swaption tree,tree,200,1048602700.0,27
compare swaption tree,tree,200,1096850632.0,28
compare swaption tree,tree,200,1133256354.0,29
compare swaption tree,tree,200,1161394372.0,30
compare swaption tree,tree,200,1230475517.0,31
compare swaption tree,tree,200,1241080522.0,32
compare swaption tree,tree,200,1272680542.0,33
compare swaption tree,tree,200,1325715475.0,34
compare swaption tree,tree,200,1368753502.0,35
compare swaption tree,tree,200,1476766571.0,36
compare swaption tree,tree,200,1488721077.0,37
compare swaption tree,tree,200,1513298091.0,38
compare swaption tree,tree,200,1562603821.0,39
compare swaption tree,tree,200,1689641101.0,40
compare swaption tree,tree,200,1644853170.0,41
compare swaption tree,tree,200,1653744073.0,42
compare swaption tree,tree,200,1663313677.0,43
compare swaption tree,tree,200,1709536004.0,44
compare swaption tree,tree,200,1762782936.0,45
compare swaption tree,tree,200,1848018488.0,46
compare swaption tree,tree,200,1824922170.0,47
compare swaption tree,tree,200,1986279970.0,48
compare swaption tree,tree,200,1912095919.0,49
compare swaption tree,tree,200,1953844343.0,50
compare swaption tree,tree,200,1990318662.0,51
compare swaption tree,tree,200,2036008288.0,52
compare swaption tree,tree,200,2079669511.0,53
compare swaption tree,tree,200,2146344050.0,54
compare swaption tree,tree,200,2144469045.0,55
compare swaption tree,tree,200,2184625065.0,56
compare swaption tree,tree,200,2296861832.0,57
compare swaption tree,tree,200,2325643345.0,58
compare swaption tree,tree,200,2317632535.0,59
compare swaption tree,tree,200,2327305237.0,60
compare swaption tree,tree,200,2382056265.0,61
compare swaption tree,tree,200,2444504800.0,62
compare swaption tree,tree,200,2476524313.0,63
compare swaption tree,tree,200,2494069920.0,64
compare swaption tree,tree,200,2529438436.0,65
compare swaption tree,tree,200,2590919167.0,66
compare swaption tree,tree,200,3046267536.0,67
compare swaption tree,tree,200,3195090218.0,68
compare swaption tree,tree,200,2719290926.0,69
compare swaption tree,tree,200,2732556427.0,70
compare swaption tree,tree,200,2825258077.0,71
compare swaption tree,tree,200,2934483234.0,72
compare swaption tree,tree,200,2817363059.0,73
compare swaption tree,tree,200,2897420900.0,74
compare swaption tree,tree,200,2932921714.0,75
compare swaption tree,tree,200,2973405231.0,76
compare swaption tree,tree,200,3031179457.0,77
compare swaption tree,tree,200,3125656405.0,78
compare swaption tree,tree,200,3184422030.0,79
compare swaption tree,tree,200,3132508694.0,80
compare swaption tree,tree,200,3206468128.0,81
compare swaption tree,tree,200,3203064219.0,82
compare swaption tree,tree,200,3308614070.0,83
compare swaption tree,tree,200,3281767248.0,84
compare swaption tree,tree,200,3282474240.0,85
compare swaption tree,tree,200,3395725295.0,86
compare swaption tree,tree,200,3428373705.0,87
compare swaption tree,tree,200,3479612524.0,88
compare swaption tree,tree,200,3455904903.0,89
compare swaption tree,tree,200,3544528043.0,90
compare swaption tree,tree,200,3572916950.0,91
compare swaption tree,tree,200,3597334354.0,92
compare swaption tree,tree,200,3714008307.0,93
compare swaption tree,tree,200,3690067986.0,94
compare swaption tree,tree,200,3740551903.0,95
compare swaption tree,tree,200,3781587915.0,96
compare swaption tree,tree,200,3854276644.0,97
compare swaption tree,tree,200,3802495607.0,98
compare swaption tree,tree,200,3855888926.0,99
compare swaption tree,tree,200,3943095861.0,100
